TAGGABLE_TYPE,TAGGABLE_ID,ATTRIBUTE_TAG,VALUE_TAG
Lemma,2789,AKTIONSART,telic
Lemma,2838,AKTIONSART,telic
Lemma,2880,AKTIONSART,telic
Lemma,3098,AKTIONSART,telic
Lemma,3903,AKTIONSART,activity
Lemma,4051,AKTIONSART,telic
Lemma,4282,AKTIONSART,semelfactive
Lemma,4372,AKTIONSART,telic
Lemma,4396,AKTIONSART,telic
Lemma,4408,AKTIONSART,activity
Lemma,4599,AKTIONSART,activity
Lemma,4673,AKTIONSART,telic
Lemma,4676,AKTIONSART,activity
Lemma,4705,AKTIONSART,telic
Lemma,4717,AKTIONSART,telic
Lemma,4752,AKTIONSART,activity
Lemma,4781,AKTIONSART,telic
Lemma,4784,AKTIONSART,activity
Lemma,4828,AKTIONSART,telic
Lemma,4841,AKTIONSART,telic
Lemma,4851,AKTIONSART,telic
Lemma,4695,ANIMACY,animal
Lemma,4041,ANIMACY,animal
Lemma,2687,ANIMACY,animal
Lemma,52555,ANIMACY,animal
Lemma,4099,ANIMACY,concrete
Lemma,3050,ANIMACY,concrete
Lemma,622,ANIMACY,concrete
Lemma,1173,ANIMACY,concrete
Lemma,939,ANIMACY,concrete
Lemma,3092,ANIMACY,concrete
Lemma,3089,ANIMACY,concrete
Lemma,2700,ANIMACY,concrete
Lemma,4696,ANIMACY,concrete
Lemma,244,ANIMACY,concrete
Lemma,1077,ANIMACY,concrete
Lemma,182,ANIMACY,concrete
Lemma,789,ANIMACY,concrete
Lemma,52077,ANIMACY,concrete
Lemma,4199,ANIMACY,concrete
Lemma,1035,ANIMACY,concrete
Lemma,2524,ANIMACY,concrete
Lemma,320,ANIMACY,concrete
Lemma,4052,ANIMACY,concrete
Lemma,249,ANIMACY,concrete
Lemma,306,ANIMACY,human
Lemma,2237,ANIMACY,human
Lemma,2232,ANIMACY,human
Lemma,453,ANIMACY,human
Lemma,134,ANIMACY,human
Lemma,2391,ANIMACY,human
Lemma,2235,ANIMACY,human
Lemma,56542,ANIMACY,human
Lemma,353,ANIMACY,human
Lemma,661,ANIMACY,human
Lemma,2102,ANIMACY,human
Lemma,488,ANIMACY,human
Lemma,24,ANIMACY,human
Lemma,4095,ANIMACY,human
Lemma,57471,ANIMACY,human
Lemma,4715,ANIMACY,human
Lemma,8,ANIMACY,human
Lemma,2234,ANIMACY,human
Lemma,856,ANIMACY,human
Lemma,2384,ANIMACY,human
Lemma,3975,ANIMACY,human
Lemma,5,ANIMACY,human
Lemma,2239,ANIMACY,human
Lemma,2221,ANIMACY,human
Lemma,2258,ANIMACY,human
Lemma,66040,ANIMACY,human
Lemma,23,ANIMACY,human
Lemma,4276,ANIMACY,human
Lemma,2456,ANIMACY,human
Lemma,2236,ANIMACY,human
Lemma,2242,ANIMACY,human
Lemma,3999,ANIMACY,human
Lemma,575,ANIMACY,human
Lemma,823,ANIMACY,human
Lemma,2715,ANIMACY,human
Lemma,31,ANIMACY,human
Lemma,4286,ANIMACY,human
Lemma,1042,ANIMACY,human
Lemma,1168,ANIMACY,human
Lemma,365,ANIMACY,human
Lemma,2238,ANIMACY,human
Lemma,56689,ANIMACY,human
Lemma,28,ANIMACY,human
Lemma,57168,ANIMACY,human
Lemma,61,ANIMACY,human
Lemma,57470,ANIMACY,human
Lemma,2445,ANIMACY,human
Lemma,2233,ANIMACY,human
Lemma,4,ANIMACY,human
Lemma,744,ANIMACY,nonconc
Lemma,849,ANIMACY,nonconc
Lemma,57989,ANIMACY,nonconc
Lemma,1216,ANIMACY,nonconc
Lemma,795,ANIMACY,nonconc
Lemma,59594,ANIMACY,nonconc
Lemma,178,ANIMACY,nonconc
Lemma,106,ANIMACY,nonconc
Lemma,29,ANIMACY,nonconc
Lemma,522,ANIMACY,nonconc
Lemma,335,ANIMACY,nonconc
Lemma,901,ANIMACY,nonconc
Lemma,1928,ANIMACY,nonconc
Lemma,4296,ANIMACY,nonconc
Lemma,40,ANIMACY,nonconc
Lemma,56726,ANIMACY,nonconc
Lemma,1036,ANIMACY,nonconc
