ID,HEAD_ID,RELATION_TAG,INFORMATION_STATUS_TAG,ANTECEDENT_ID,ANTECEDENT_HEAD_ID,ANTECEDENT_RELATION_TAG
102332,,,acc_inf,102263,,
102338,,,quant,102319,,
102340,,,non_spec,,,
102343,,,quant,,,
102352,,,non_spec_old,102343,,
102356,,,old,,102349,sub
102366,,,info_unannotatable,,,
102368,,,new,,,
102395,,,old,,765143,sub
102399,,,info_unannotatable,,,
102402,,,new,,,
102408,,,info_unannotatable,,,
102409,,,old,102406,,
102418,,,new,,,
102419,,,old,102402,,
102420,,,info_unannotatable,,,
102423,,,old_inact,,,
102426,,,non_spec,,,
102431,,,info_unannotatable,,,
102432,,,old,,102414,sub
102433,,,new,,,
102435,,,old,102432,,
102439,,,old,102432,,
102444,,,old,102433,,
102451,,,new,,,
102452,,,old,102444,,
102464,,,info_unannotatable,,,
102465,,,old,,102459,sub
102467,,,acc_inf,102433,,
102474,,,old,,102470,sub
102477,,,old,102474,,
102481,,,old,102477,,
102484,,,non_spec,,,
102485,,,non_spec,,,
102486,,,info_unannotatable,,,
102489,,,info_unannotatable,,,
102490,,,old,,102489,sub
102493,,,acc_inf,,,
102496,,,info_unannotatable,,,
102498,,,new,,,
102499,,,old,,102495,sub
102500,,,info_unannotatable,,,
102501,,,quant,,,
102502,,,acc_gen,,,
102505,,,info_unannotatable,,,
102506,,,acc_inf,102493,,
102508,,,old,102499,,
102513,,,info_unannotatable,,,
102517,,,acc_inf,102486,,
102521,,,old,,102480,sub
102523,,,info_unannotatable,,,
102524,,,non_spec,,,
102532,,,non_spec,,,
102537,,,info_unannotatable,,,
102538,,,old,,102533,sub
102539,,,info_unannotatable,,,
102544,,,info_unannotatable,,,
102545,,,old_inact,,,
102547,,,info_unannotatable,,,
102549,,,info_unannotatable,,,
102551,,,acc_inf,,102548,sub
102556,,,quant,,,
102563,,,new,,,
102565,,,acc_inf,102551,,
102569,,,non_spec_old,102556,,
102571,,,acc_gen,,,
102576,,,info_unannotatable,,,
102577,,,old,,102568,sub
102578,,,new,,,
102581,,,new,,,
102587,,,old,102577,,
102590,,,acc_inf,102569,,
102593,,,acc_inf,102551,,
102601,,,new,,,
102604,,,old,102578,,
102610,,,old,,102595,sub
102612,,,new,,,
102613,,,old,,102599,sub
102616,,,old,102604,,
102618,,,old,102616,,
102621,,,old,102618,,
102623,,,new,,,
102627,,,new,,,
