xcl,abēl,,abełi,Ne-s----d
xcl,abēl,,abełi,Ne-s----g
xcl,abēl,,abełi,Ne-s----l
xcl,abia,,abiay,Ne-s----a
xcl,abia,,abiay,Ne-s----d
xcl,abia,,abiay,Ne-s----g
xcl,abia,,abiay,Ne-s----l
xcl,abia,,abiay,Ne-s----n
xcl,abilenacʻi,,abiłēnacʻwocʻ,Nb-p----b
xcl,abilenacʻi,,abiłēnacʻwocʻ,Nb-p----d
xcl,abilenacʻi,,abiłēnacʻwocʻ,Nb-p----g
xcl,abraham,,abraham,Ne-s----a
xcl,abraham,,abraham,Ne-s----n
xcl,abraham,,abrahamow,Ne-s----b
xcl,abraham,,abrahamow,Ne-s----d
xcl,abraham,,abrahamow,Ne-s----g
xcl,abraham,,abrahamow,Ne-s----i
xcl,abraham,,abrahamow,Ne-s----l
xcl,acem,,accʻē,V-3sasa
xcl,acem,,aceal,V--s-p--a
xcl,acem,,aceal,V--s-p--l
xcl,acem,,aceal,V--s-p--n
xcl,acem,,acēkʻ,V-2pama
xcl,acem,,acel,V----d--l
xcl,acem,,acel,V----n
xcl,acem,,acicʻē,V-3spsa
xcl,acem,,acín,V-3paia
xcl,acem,,acin,V-3paia
xcl,acem,,aci,V-1saia
xcl,acem,,ác,V-3saia
xcl,acem,,ac,V-3saia
xcl,adam,,adamáy,Ne-s----b
xcl,adam,,adamáy,Ne-s----d
xcl,adam,,adamáy,Ne-s----g
xcl,adam,,adamáy,Ne-s----l
xcl,addi,,addeáy,Ne-s----b
xcl,addi,,addeáy,Ne-s----d
xcl,addi,,addeáy,Ne-s----g
xcl,addi,,addeáy,Ne-s----l
xcl,admea,,admeáy,Ne-s----b
xcl,admea,,admeáy,Ne-s----d
xcl,admea,,admeáy,Ne-s----g
xcl,admea,,admeáy,Ne-s----l
xcl,agahowtʻiwn,,agahowtʻenē,Nb-s----b
xcl,aganim,2,aganél,V----d--l
xcl,aganim,2,aganel,V----d--l
xcl,aganim,2,aganél,V----n
xcl,aganim,2,aganel,V----n
xcl,aganim,2,aganḗr,V-3siip
xcl,aganim,2,aganiǰikʻ,V-2ppsp
xcl,aganim,2,agir,V-2samp
xcl,aganim,2,agǰikʻ,V-2pasa
xcl,aganim,2,agǰikʻ,V-2pasp
xcl,aganim,,aganēr,V-3siip
xcl,agarak,,agarakē,Nb-s----b
xcl,agarak,,agarakí,Nb-s----d
xcl,agarak,,agarakí,Nb-s----g
xcl,agarak,,agarakí,Nb-s----l
xcl,agarak,,agarak,Nb-s----a
xcl,agarak,,agarak,Nb-s----n
xcl,agarak,,agaraks,Nb-p----a
xcl,agarak,,agaraks,Nb-p----l
xcl,agowcʻanem,,agowcʻēkʻ,V-2pama
xcl,agr̄aw,,agr̄aws,Nb-p----a
xcl,agr̄aw,,agr̄aws,Nb-p----l
xcl,aha,,aha,Dn
xcl,ah,,ahi,Nb-s----d
xcl,ah,,ahi,Nb-s----g
xcl,ah,,ahi,Nb-s----l
xcl,ah,,ahiw,Nb-s----i
xcl,ah,,áh,Nb-s----a
xcl,ah,,ah,Nb-s----a
xcl,ah,,áh,Nb-s----n
xcl,ah,,ah,Nb-s----n
xcl,aharon,,aharovni,Ne-s----d
xcl,aharon,,aharovni,Ne-s----g
xcl,aharon,,aharovni,Ne-s----l
xcl,ahawanik,,ahawanik,Dn
xcl,ahawasik,,ahawadik,Dn
xcl,ahawasik,,ahawasik,Dn
xcl,ahawasik,,awasik,Dn
xcl,aheł,,aheł,A--s----a
xcl,aheł,,aheł,A--s----n
xcl,aǰ,,aǰ,A--s----a
xcl,aǰ,,aǰ,A--s----n
xcl,aǰ,,aǰmē,A--s----b
xcl,aǰ,,aǰmḗ,A--s----b
xcl,aǰ,,aǰoy,A--s----b
xcl,aǰ,,aǰoy,A--s----d
xcl,aǰ,,aǰoy,A--s----g
xcl,akan,,akan,Nb-s----a
xcl,akan,,akan,Nb-s----n
